YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS PTDY TIDE
2014 6 30 18 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.9 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 18 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.9 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 18 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.9 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 18 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.0 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 18 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.0 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 18 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.1 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 19 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.1 999.0 28.0 999.0 999.0 1.5 999.0
2014 6 30 19 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.1 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 19 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.2 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 19 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.2 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 19 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.2 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 19 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.3 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 19 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.3 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 19 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.2 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 19 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.2 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 19 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.3 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 20 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.3 999.0 27.9 999.0 999.0 1.3 999.0
2014 6 30 20 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.3 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 20 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.3 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 20 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1015.3 999.0 27.9 999.0 999.0 999.0 999.0
