"Date Time, GMT-11:00",Timu1daily
2013-06-06,0.0
2013-06-07,2.032
2013-06-08,0.254
2013-06-09,11.68399999999999
2013-06-10,5.079999999999998
2013-06-11,0.508
2013-06-12,0.0
2013-06-13,11.429999999999994
2013-06-14,0.762
2013-06-15,1.27
2013-06-16,30.988000000000042
2013-06-17,0.762
2013-06-18,1.524
2013-06-19,0.508
2013-06-20,0.254
2013-06-21,0.0
2013-06-22,0.0
2013-06-23,9.651999999999994
2013-06-24,9.397999999999993
2013-06-25,17.27199999999999
2013-06-26,0.0
2013-06-27,0.0
2013-06-28,3.048
2013-06-29,0.254
2013-06-30,4.571999999999999
2013-07-01,1.27
2013-07-02,15.23999999999999
2013-07-03,6.857999999999995
2013-07-04,0.0
2013-07-05,7.619999999999994
2013-07-06,1.524
2013-07-07,5.079999999999998
2013-07-08,0.254
2013-07-09,0.0
2013-07-10,1.27
2013-07-11,1.524
2013-07-12,8.381999999999998
2013-07-13,30.98800000000003
2013-07-14,1.778
2013-07-15,0.254
2013-07-16,11.683999999999997
2013-07-17,20.320000000000004
2013-07-18,24.130000000000035
2013-07-19,32.258000000000045
2013-07-20,29.210000000000022
2013-07-21,0.0
2013-07-22,0.0
2013-07-23,0.0
2013-07-24,13.715999999999994
2013-07-25,0.0
2013-07-26,0.0
2013-07-27,5.587999999999997
2013-07-28,21.844000000000015
2013-07-29,4.825999999999999
2013-07-30,0.508
2013-07-31,2.286
2013-08-01,10.159999999999998
2013-08-02,0.254
2013-08-03,20.82800000000001
2013-08-04,12.69999999999999
2013-08-05,8.381999999999993
2013-08-06,14.47799999999999
2013-08-07,0.0
2013-08-08,0.508
2013-08-09,1.27
2013-08-10,80.51800000000001
2013-08-11,0.0
2013-08-12,0.254
2013-08-13,0.0
2013-08-14,0.0
2013-08-15,29.972000000000005
2013-08-16,100.83800000000026
2013-08-17,89.66200000000028
2013-08-18,5.333999999999998
2013-08-19,41.656000000000006
2013-08-20,0.508
2013-08-21,12.95399999999999
2013-08-22,0.0
2013-08-23,0.0
2013-08-24,1.27
2013-08-25,0.762
2013-08-26,30.226000000000024
2013-08-27,0.508
2013-08-28,0.0
2013-08-29,0.0
2013-08-30,0.0
2013-08-31,5.079999999999998
2013-09-01,44.19599999999998
2013-09-02,0.508
2013-09-03,4.064
2013-09-04,0.0
2013-09-05,0.0
2013-09-06,0.0
2013-09-07,23.876000000000023
2013-09-08,13.207999999999993
2013-09-09,4.318
2013-09-10,6.857999999999995
2013-09-11,0.508
2013-09-12,0.508
2013-09-13,9.397999999999996
2013-09-14,0.254
2013-09-15,0.0
2013-09-16,5.587999999999999
2013-09-17,5.587999999999997
2013-09-18,13.207999999999993
2013-09-19,3.556
2013-09-20,0.0
2013-09-21,14.731999999999998
2013-09-22,1.524
2013-09-23,0.508
2013-09-24,0.0
2013-09-25,0.508
2013-09-26,0.0
2013-09-27,0.0
2013-09-28,10.921999999999993
2013-09-29,0.254
2013-09-30,2.286
2013-10-01,0.0
2013-10-02,7.111999999999998
2013-10-03,0.508
2013-10-04,0.0
2013-10-05,0.508
