month	day	year	mm precip
08	27	2009	0.0
08	28	2009	0.0
08	29	2009	0.0
08	30	2009	237.8
08	31	2009	344.9
09	01	2009	6110.3
09	02	2009	170.2
09	03	2009	3032.6
09	04	2009	8356.6
09	05	2009	8.6
09	06	2009	3615.5
09	07	2009	21954.4
09	08	2009	253.7
09	09	2009	0.3
09	10	2009	0.0
09	11	2009	0.0
09	12	2009	298.1
09	13	2009	335.3
09	14	2009	2142.2
09	15	2009	5.3
09	16	2009	260.4
09	17	2009	238.0
09	18	2009	2.0
09	19	2009	0.0
09	20	2009	0.0
09	21	2009	370.6
09	22	2009	2.3
09	23	2009	0.0
09	24	2009	0.0
09	25	2009	0.0
09	26	2009	0.0
09	27	2009	0.0
09	28	2009	0.0
09	29	2009	113.0
09	30	2009	0.5
10	01	2009	54.6
10	02	2009	0.3
10	03	2009	0.0
10	04	2009	4925.9
10	05	2009	423.8
10	06	2009	0.3
10	07	2009	0.0
10	08	2009	2570.3
10	09	2009	600.1
10	10	2009	0.0
10	11	2009	0.0
10	12	2009	0.0
10	13	2009	0.0
10	14	2009	2161.6
10	15	2009	37265.4
10	16	2009	10004.3
10	17	2009	12.4
10	18	2009	2348.5
10	19	2009	5.1
10	20	2009	0.0
10	21	2009	195.0
10	22	2009	27476.9
10	23	2009	2469.0
10	24	2009	743.5
10	25	2009	162.2
10	26	2009	0.3
10	27	2009	905.2
10	28	2009	1.8
10	29	2009	0.0
10	30	2009	1305.4
10	31	2009	11928.3
11	01	2009	13.2
11	02	2009	0.0
11	03	2009	0.0
11	04	2009	563.9
11	05	2009	1.0
11	06	2009	1712.0
11	07	2009	22055.1
11	08	2009	3499.1
11	09	2009	12.2
11	10	2009	4391.8
11	11	2009	22292.2
11	12	2009	52.1
11	13	2009	441.9
11	14	2009	332.3
11	15	2009	21224.9
11	16	2009	24.9
11	17	2009	0.0
11	18	2009	0.0
11	19	2009	0.0
11	20	2009	140.4
11	21	2009	0.3
11	22	2009	654.8
11	23	2009	177.2
11	24	2009	0.3
11	25	2009	0.9
11	26	2009	26423.3
11	27	2009	137356.4
11	28	2009	176.5
11	29	2009	0.0
11	30	2009	36.9
12	01	2009	16292.0
12	02	2009	9871.8
12	03	2009	5266.8
12	04	2009	2953.9
12	05	2009	1653.0
12	06	2009	2062.2
12	07	2009	173.3
12	08	2009	658.5
12	09	2009	13615.9
12	10	2009	18565.0
12	11	2009	1691.3
12	12	2009	416.5
12	13	2009	0.3
12	14	2009	0.0
12	15	2009	0.0
12	16	2009	0.0
12	17	2009	0.0
12	18	2009	1173.2
12	19	2009	1.5
12	20	2009	0.0
12	21	2009	0.0
12	22	2009	0.0
12	23	2009	0.0
12	24	2009	1238.5
12	25	2009	2.0
12	26	2009	692.3
12	27	2009	34886.8
12	28	2009	2900.2
12	29	2009	15388.6
12	30	2009	9275.7
12	31	2009	28394.9
01	01	2010	21802.9
01	02	2010	1543.5
01	03	2010	345.6
01	04	2010	5187.3
01	05	2010	20.8
01	06	2010	31780.6
01	07	2010	754.1
01	08	2010	1.3
01	09	2010	0.0
01	10	2010	365.3
01	11	2010	1138.3
01	12	2010	302.2
01	13	2010	0.3
01	14	2010	25133.0
01	15	2010	4604.3
01	16	2010	3111.6
01	17	2010	1783.0
01	18	2010	400.2
01	19	2010	168.7
01	20	2010	1887.6
01	21	2010	4.8
01	22	2010	0.0
01	23	2010	0.0
01	24	2010	11247.9
01	25	2010	74580.0
01	26	2010	12429.1
01	27	2010	34807.7
01	28	2010	1081.7
01	29	2010	2.0
01	30	2010	4096.3
01	31	2010	586.8
02	01	2010	104982.0
02	02	2010	676.1
02	03	2010	19844.4
02	04	2010	15.5
02	05	2010	241.4
02	06	2010	0.5
02	07	2010	0.0
02	08	2010	0.0
02	09	2010	7594.2
02	10	2010	21846.3
02	11	2010	24.6
02	12	2010	7408.4
02	13	2010	95746.2
02	14	2010	4788.3
02	15	2010	1720.2
02	16	2010	16583.8
02	17	2010	305.3
02	18	2010	192.9
02	19	2010	0.5
02	20	2010	226.2
02	21	2010	270.1
02	22	2010	20003.4
02	23	2010	4057.7
02	24	2010	425.1
02	25	2010	1526.0
02	26	2010	90.0
02	27	2010	0.3
02	28	2010	0.0
03	01	2010	0.0
03	02	2010	5573.9
03	03	2010	74.1
03	04	2010	7041.4
03	05	2010	10.7
03	06	2010	0.0
03	07	2010	0.0
03	08	2010	813.8
03	09	2010	518.3
03	10	2010	3760.3
03	11	2010	2573.1
03	12	2010	6.9
03	13	2010	0.0
03	14	2010	0.0
03	15	2010	0.0
03	16	2010	0.0
03	17	2010	0.0
03	18	2010	179.4
03	19	2010	1.0
03	20	2010	0.0
03	21	2010	2348.8
03	22	2010	3.8
03	23	2010	119.8
03	24	2010	180.8
03	25	2010	806.2
03	26	2010	1.0
03	27	2010	30.6
03	28	2010	6247.5
03	29	2010	499.3
03	30	2010	411.9
03	31	2010	0.5
04	01	2010	0.0
04	02	2010	0.0
04	03	2010	0.0
04	04	2010	0.0
04	05	2010	2655.4
04	06	2010	2.0
04	07	2010	0.0
04	08	2010	18036.9
04	09	2010	215.9
04	10	2010	0.8
04	11	2010	744.9
04	12	2010	499.0
04	13	2010	3689.5
04	14	2010	29328.5
04	15	2010	7023.1
04	16	2010	1586.7
04	17	2010	3566.5
04	18	2010	9433.7
04	19	2010	15.0
04	20	2010	766.3
04	21	2010	3285.0
04	22	2010	9517.6
04	23	2010	603.7
04	24	2010	1.0
04	25	2010	0.0
04	26	2010	1936.1
04	27	2010	4.6
04	28	2010	0.0
04	29	2010	16769.8
04	30	2010	1600.1
05	01	2010	1.5
05	02	2010	0.0
05	03	2010	292.6
05	04	2010	1332.5
05	05	2010	3.6
05	06	2010	0.0
05	07	2010	19299.7
05	08	2010	157.9
05	09	2010	1741.7
05	10	2010	2.0
05	11	2010	503.9
05	12	2010	22588.9
05	13	2010	133.6
05	14	2010	0.3
05	15	2010	0.0
05	16	2010	0.0
05	17	2010	0.0
05	18	2010	264.1
05	19	2010	1.5
05	20	2010	0.0
05	21	2010	1841.1
05	22	2010	898.5
05	23	2010	0.8
05	24	2010	3752.4
05	25	2010	2997.0
05	26	2010	6.3
05	27	2010	704.4
05	28	2010	558.9
05	29	2010	3350.8
05	30	2010	7.4
05	31	2010	112.5
06	01	2010	9945.7
06	02	2010	86.4
06	03	2010	1145.0
06	04	2010	1.3
06	05	2010	1536.3
06	06	2010	4387.5
06	07	2010	3575.0
06	08	2010	222.3
06	09	2010	4601.2
06	10	2010	5169.1
06	11	2010	13684.6
06	12	2010	1386.5
06	13	2010	4.6
06	14	2010	994.5
06	15	2010	7439.3
06	16	2010	716.8
06	17	2010	474.7
06	18	2010	471.4
06	19	2010	102.2
06	20	2010	3186.7
06	21	2010	1885.9
06	22	2010	171.6
06	23	2010	412.8
06	24	2010	2611.9
06	25	2010	5553.0
06	26	2010	439.9
06	27	2010	1.0
06	28	2010	347.6
06	29	2010	1927.6
06	30	2010	1.5
07	01	2010	0.0
07	02	2010	317.5
07	03	2010	1026.5
07	04	2010	109.4
07	05	2010	2352.4
07	06	2010	4.6
07	07	2010	731.7
07	08	2010	0.8
07	09	2010	0.0
07	10	2010	8311.5
