,Man_n,Q(m3/s),area(m2),r,stage(m),vel(m/s),wp(m)
2013-05-01 02:45:00,0.05583532340388382,1.983,1.3617930600000003,0.32157922309173426,0.45,1.4560520914849906,4.234704739029526
2012-05-23 23:45:00,0.056262477589175644,1.952,1.3942237800000001,0.3066208091846949,0.46,1.3998328836274694,4.547061837411632
2013-04-23 17:15:00,0.056050795157108924,2.038,1.4277517800000004,0.3139303785151834,0.47,1.4273629242814003,4.547988591460722
2012-05-23 23:30:00,0.055846117328112906,2.126,1.4612797800000004,0.3211909529084381,0.48,1.454598645617561,4.549567062110144
2013-04-17 03:15:00,0.055648139117096936,2.215,1.4948077800000004,0.32839982625985514,0.49,1.4815350386861323,4.551792237603664
2012-05-23 20:45:00,0.05545657174910704,2.305,1.5283357800000004,0.3355545177600952,0.5,1.5081678167854757,4.5546571394776585
2013-08-16 13:00:00,0.05527114113391989,2.397,1.5618637800000004,0.3426527815372336,0.51,1.5344934439714073,4.5581529296013725
2012-05-23 17:15:00,0.05619183517615089,2.251,1.5979749600000004,0.30903797996979104,0.52,1.40894913772887,5.170804443376847
2013-06-05 10:45:00,0.055985111594197653,2.349,1.6360749600000002,0.3162394383686384,0.53,1.43603634761782,5.1735323349924425
2012-05-23 19:00:00,0.05628391946044784,2.342,1.67618664,0.3058914764451896,0.54,1.397079794293675,5.479677496997349
2013-06-05 08:45:00,0.05606738650891094,2.448,1.7173346400000005,0.3133502189223957,0.55,1.4251819598890958,5.48055988569555
2012-05-23 17:45:00,0.05585761683354487,2.555,1.7584826400000004,0.3207779002821549,0.56,1.453052095086984,5.481932011068238
2013-06-05 08:00:00,0.0556542989627137,2.665,1.7996306400000002,0.32817272064576486,0.57,1.4806880193197531,5.48379108555629
2012-05-23 17:00:00,0.0554571411970509,2.776,1.84077864,0.33553298359924166,0.58,1.5080878062138696,5.486133196963472
2013-04-23 16:45:00,0.055265869747195544,2.889,1.88192664,0.3428571015407778,0.59,1.5352498058820434,5.488953361452169
2012-05-23 18:15:00,0.0555529472750087,2.876,1.92401952,0.3319327102548799,0.6,1.4946983576291288,5.796414335069932
2013-08-16 10:00:00,0.05535410196562718,2.997,1.96821552,0.3394557328623976,0.61,1.5226482336440745,5.798150773308163
2012-05-23 16:45:00,0.05516115700589956,3.12,2.01241152,0.34694522372229336,0.62,1.5503670717274274,5.800372457673036
