,index,start,end,duration (hrs),sep from
109,109,2013-08-17 04:15:00,2013-08-17 06:00:00,1.75,LBJ PT
110,110,2013-08-17 11:00:00,2013-08-18 16:15:00,29.25,LBJ PT
111,111,2013-08-18 23:45:00,2013-08-19 03:45:00,4.0,LBJ PT
112,112,2013-08-19 07:00:00,2013-08-19 23:30:00,16.5,LBJ PT
113,113,2013-08-21 03:30:00,2013-08-21 09:00:00,5.5,LBJ PT
114,114,2013-08-26 03:30:00,2013-08-26 12:30:00,9.0,LBJ PT
115,115,2013-09-01 04:30:00,2013-09-01 17:45:00,13.25,LBJ PT
116,116,2013-09-01 20:30:00,2013-09-02 06:00:00,9.5,LBJ PT
117,117,2013-09-07 07:30:00,2013-09-07 19:30:00,12.0,LBJ PT
118,118,2013-09-08 17:30:00,2013-09-09 04:45:00,11.25,LBJ PT
119,119,2013-09-18 19:30:00,2013-09-19 07:00:00,11.5,LBJ PT
120,120,2013-09-21 11:30:00,2013-09-21 23:15:00,11.75,LBJ PT
121,64,2013-10-10 14:00:00,2013-10-11 02:15:00,12.25,DAM PT
122,65,2013-10-15 13:45:00,2013-10-15 20:15:00,6.5,DAM PT
123,66,2013-10-19 10:15:00,2013-10-19 21:00:00,10.75,DAM PT
124,67,2013-10-19 23:30:00,2013-10-20 09:00:00,9.5,DAM PT
125,68,2013-10-31 05:30:00,2013-10-31 15:30:00,10.0,DAM PT
126,69,2013-11-13 06:45:00,2013-11-13 21:00:00,14.25,DAM PT
127,70,2013-11-24 16:00:00,2013-11-25 02:15:00,10.25,DAM PT
128,71,2013-12-09 00:30:00,2013-12-09 15:45:00,15.25,DAM PT
129,72,2013-12-11 00:45:00,2013-12-11 14:00:00,13.25,DAM PT
130,73,2013-12-13 16:00:00,2013-12-13 21:30:00,5.5,DAM PT
131,74,2014-01-01 00:45:00,2014-01-01 18:30:00,17.75,DAM PT
132,75,2014-01-02 08:45:00,2014-01-02 23:00:00,14.25,DAM PT
133,76,2014-01-03 18:30:00,2014-01-04 08:00:00,13.5,DAM PT
134,77,2014-01-04 22:30:00,2014-01-05 05:00:00,6.5,DAM PT
135,78,2014-01-06 07:15:00,2014-01-06 19:00:00,11.75,DAM PT
136,79,2014-01-07 17:00:00,2014-01-08 02:15:00,9.25,DAM PT
137,80,2014-01-08 08:45:00,2014-01-08 15:45:00,7.0,DAM PT
138,81,2014-01-08 18:00:00,2014-01-09 02:00:00,8.0,DAM PT
139,82,2014-01-09 02:30:00,2014-01-09 15:45:00,13.25,DAM PT
140,83,2014-01-24 22:30:00,2014-01-25 07:00:00,8.5,DAM PT
141,84,2014-01-26 09:30:00,2014-01-26 19:30:00,10.0,DAM PT
142,85,2014-02-09 06:00:00,2014-02-09 20:45:00,14.75,DAM PT
143,121,2014-02-14 08:45:00,2014-02-14 23:45:00,15.0,LBJ PT
144,122,2014-02-15 09:15:00,2014-02-15 19:15:00,10.0,LBJ PT
145,123,2014-02-16 08:45:00,2014-02-16 16:00:00,7.25,LBJ PT
146,124,2014-02-18 18:15:00,2014-02-19 03:00:00,8.75,LBJ PT
147,125,2014-02-20 04:00:00,2014-02-20 23:15:00,19.25,LBJ PT
148,126,2014-02-21 07:45:00,2014-02-22 05:45:00,22.0,LBJ PT
149,127,2014-02-24 05:00:00,2014-02-24 11:45:00,6.75,LBJ PT
150,128,2014-02-24 15:00:00,2014-02-24 19:45:00,4.75,LBJ PT
151,129,2014-02-25 17:00:00,2014-02-26 19:30:00,26.5,LBJ PT
152,130,2014-02-27 02:00:00,2014-02-27 12:15:00,10.25,LBJ PT
153,131,2014-02-27 16:30:00,2014-02-28 08:45:00,16.25,LBJ PT
154,132,2014-03-03 04:30:00,2014-03-03 08:45:00,4.25,LBJ PT
155,133,2014-03-06 13:15:00,2014-03-06 18:15:00,5.0,LBJ PT
156,134,2014-03-06 19:30:00,2014-03-07 12:30:00,17.0,LBJ PT
157,135,2014-03-13 10:30:00,2014-03-14 00:00:00,13.5,LBJ PT
158,136,2014-03-14 00:45:00,2014-03-14 13:15:00,12.5,LBJ PT
159,137,2014-03-14 18:00:00,2014-03-15 00:30:00,6.5,LBJ PT
160,138,2014-03-23 19:45:00,2014-03-24 02:45:00,7.0,LBJ PT
161,139,2014-03-24 06:30:00,2014-03-24 12:00:00,5.5,LBJ PT
162,140,2014-03-28 15:30:00,2014-03-28 22:45:00,7.25,LBJ PT
163,141,2014-04-01 08:15:00,2014-04-01 14:30:00,6.25,LBJ PT
164,142,2014-04-01 16:15:00,2014-04-01 23:00:00,6.75,LBJ PT
165,143,2014-04-06 10:00:00,2014-04-06 23:45:00,13.75,LBJ PT
166,144,2014-04-08 13:45:00,2014-04-09 00:45:00,11.0,LBJ PT
167,145,2014-04-09 20:45:00,2014-04-10 11:45:00,15.0,LBJ PT
168,146,2014-04-11 08:00:00,2014-04-11 18:45:00,10.75,LBJ PT
169,147,2014-04-16 15:30:00,2014-04-16 18:15:00,2.75,LBJ PT
170,148,2014-04-17 03:00:00,2014-04-17 13:00:00,10.0,LBJ PT
171,149,2014-04-17 14:00:00,2014-04-18 03:15:00,13.25,LBJ PT
172,150,2014-04-18 18:30:00,2014-04-19 04:45:00,10.25,LBJ PT
173,151,2014-04-19 05:45:00,2014-04-19 21:00:00,15.25,LBJ PT
174,152,2014-04-19 22:45:00,2014-04-20 15:45:00,17.0,LBJ PT
175,153,2014-04-25 12:00:00,2014-04-26 04:30:00,16.5,LBJ PT
176,154,2014-04-26 09:00:00,2014-04-26 21:45:00,12.75,LBJ PT
177,155,2014-04-27 09:00:00,2014-04-28 02:00:00,17.0,LBJ PT
178,156,2014-04-28 08:45:00,2014-04-28 15:30:00,6.75,LBJ PT
179,157,2014-04-28 16:45:00,2014-04-28 19:15:00,2.5,LBJ PT
180,158,2014-04-28 21:30:00,2014-04-29 13:30:00,16.0,LBJ PT
181,159,2014-04-29 19:30:00,2014-04-29 22:30:00,3.0,LBJ PT
182,160,2014-04-30 12:00:00,2014-05-01 10:30:00,22.5,LBJ PT
183,161,2014-05-19 03:15:00,2014-05-19 13:15:00,10.0,LBJ PT
184,162,2014-05-19 13:30:00,2014-05-19 21:00:00,7.5,LBJ PT
185,163,2014-05-20 01:00:00,2014-05-20 11:30:00,10.5,LBJ PT
186,164,2014-05-22 07:15:00,2014-05-23 02:30:00,19.25,LBJ PT
187,165,2014-05-23 08:15:00,2014-05-23 12:45:00,4.5,LBJ PT
188,166,2014-05-26 07:15:00,2014-05-26 16:45:00,9.5,LBJ PT
189,167,2014-05-29 12:45:00,2014-05-30 00:15:00,11.5,LBJ PT
190,168,2014-06-03 18:45:00,2014-06-04 06:30:00,11.75,LBJ PT
191,169,2014-06-05 19:00:00,2014-06-06 19:45:00,24.75,LBJ PT
192,170,2014-06-16 05:15:00,2014-06-16 13:30:00,8.25,LBJ PT
193,171,2014-06-16 19:45:00,2014-06-17 16:15:00,20.5,LBJ PT
194,172,2014-07-02 22:15:00,2014-07-04 01:30:00,27.25,LBJ PT
195,173,2014-07-05 06:00:00,2014-07-05 19:15:00,13.25,LBJ PT
196,174,2014-07-06 17:30:00,2014-07-07 04:45:00,11.25,LBJ PT
197,175,2014-07-09 10:45:00,2014-07-09 15:30:00,4.75,LBJ PT
198,176,2014-07-27 08:00:00,2014-07-27 13:45:00,5.75,LBJ PT
199,177,2014-07-29 06:00:00,2014-07-30 12:00:00,30.0,LBJ PT
200,178,2014-07-30 18:45:00,2014-07-31 13:15:00,18.5,LBJ PT
201,179,2014-07-31 15:30:00,2014-08-01 19:15:00,27.75,LBJ PT
202,180,2014-08-01 21:15:00,2014-08-01 23:45:00,2.5,LBJ PT
203,181,2014-08-02 13:15:00,2014-08-02 18:15:00,5.0,LBJ PT
204,182,2014-08-02 20:00:00,2014-08-03 12:45:00,16.75,LBJ PT
205,183,2014-08-06 08:15:00,2014-08-06 13:15:00,5.0,LBJ PT
